url,category_code,category_description,date_added,source,notes,
cesr.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
change.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
chantelle.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
childrensdefense.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
chinatimes.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
christianity.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
christianitytoday.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
churchofeuthanasia.org,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cia.gov,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cidh.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
circumcision.org,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cirp.org,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cis.minsk.by,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
clintonfoundation.org,POLR,Political Criticism,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
clubdicecasino.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cnn.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
coinbase.com,COMM,E-commerce,2018-11-15,blockchain,Initial tracking of cryptocurrencies on 2018-11-15. Cryptocurrency exchange,
collegehumor.com,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
concern.net,ECON,Economics,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
connotea.org,GRP,Social Networking,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
convertingtojudaism.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
copticchurch.net,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
coquette.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
counter-strike.net,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
